번호,측정망,도시,측정지점,지역,측정연도,분기,주간9시,주간12시,주간16시,주간20시,주간평균,야간23시,야간01시,야간평균
173,중앙,서울특별시,기업은행 앞,도로,2023,1,73.3,72,71.9,71.7,72,70.8,69.5,70
174,중앙,서울특별시,기업은행 앞,도로,2023,2,73.9,72.5,71,73.1,73,70.2,69,70
175,중앙,서울특별시,기업은행 앞,도로,2023,3,53.955,56.805,55.047,58.049,56,53.925,51.33,53
176,중앙,서울특별시,기업은행 앞,도로,2023,4,74.7,75.1,74.6,73.8,75,72.5,70.1,71
177,중앙,서울특별시,LG베스트샵,도로,2023,1,66.7,66.1,66.2,67.1,67,64.5,62.7,64
178,중앙,서울특별시,LG베스트샵,도로,2023,2,66.5,66.3,67.6,66.2,67,63.9,59.9,62
179,중앙,서울특별시,LG베스트샵,도로,2023,3,55.06,52.892,52.916,52.526,53,48.467,45.37,47
180,중앙,서울특별시,LG베스트샵,도로,2023,4,67.7,68.3,69.8,67.8,68,66,62.4,64
181,중앙,서울특별시,한성어린이공원,일반,2023,1,56.9,57.5,56.8,57.5,57,52.1,49.3,51
182,중앙,서울특별시,한성어린이공원,일반,2023,2,50,50.4,52.4,54,52,45.4,42.7,44
183,중앙,서울특별시,한성어린이공원,일반,2023,3,64.75,62.493,62.251,62.842,63,52.911,51.525,52
184,중앙,서울특별시,한성어린이공원,일반,2023,4,57,57.9,56.2,54.7,56,54.7,45.7,50
185,중앙,서울특별시,북성초교 옆,일반,2023,1,55.4,54.4,54.5,54.7,55,50.8,48.6,50
186,중앙,서울특별시,북성초교 옆,일반,2023,2,54.9,60,62.7,55.4,58,50.3,46.8,49
187,중앙,서울특별시,북성초교 옆,일반,2023,3,66.543,65.391,66.203,66.134,66,64.632,64.297,64
188,중앙,서울특별시,북성초교 옆,일반,2023,4,57.9,56.9,57.5,55.1,57,52.5,48.2,50
189,중앙,서울특별시,우리은행 앞,도로,2023,1,71.2,70.3,69.6,69.7,70,68.1,65.5,67
190,중앙,서울특별시,우리은행 앞,도로,2023,2,72.3,70.2,70,69.2,70,68,66.2,67
191,중앙,서울특별시,우리은행 앞,도로,2023,3,55.698,54.436,51.978,55.506,54,49.016,51.831,50
192,중앙,서울특별시,우리은행 앞,도로,2023,4,71.1,74.3,70.7,71.2,72,70.5,66.6,69
193,중앙,서울특별시,아현감리교회 앞,도로,2023,1,72.8,71.8,71.5,70.9,72,69.8,67.5,69
194,중앙,서울특별시,아현감리교회 앞,도로,2023,2,72.4,70.9,72.4,70.3,72,70.8,68.6,70
195,중앙,서울특별시,아현감리교회 앞,도로,2023,3,76.753,50.268,50.245,54.059,58,46.317,46.233,46
196,중앙,서울특별시,아현감리교회 앞,도로,2023,4,73.4,76.8,72.4,72.7,74,72.3,68.5,70
197,중앙,서울특별시,미광자동차공업사,일반,2023,1,51.1,52.9,56.3,53.8,54,43.5,44,44
198,중앙,서울특별시,미광자동차공업사,일반,2023,2,51.7,52.6,53.4,56,53,42.4,39.3,41
199,중앙,서울특별시,미광자동차공업사,일반,2023,3,68.862,67.203,66.506,63.655,67,62.809,63.679,63
200,중앙,서울특별시,미광자동차공업사,일반,2023,4,52.8,56.6,53.4,48.6,53,50.3,45.1,48
201,중앙,서울특별시,신도테크,일반,2023,1,63,62.7,64.2,60.9,63,53.8,54.8,54
202,중앙,서울특별시,신도테크,일반,2023,2,64.6,68.6,66.8,63.8,66,57.6,58.2,58
203,중앙,서울특별시,신도테크,일반,2023,3,57.554,59.678,60.831,60.681,60,59.361,59.838,60
204,중앙,서울특별시,신도테크,일반,2023,4,63.7,66.3,68,58.5,64,55.7,53.4,55
205,중앙,서울특별시,국민은행 앞,도로,2023,1,69.5,70.7,72,73.2,71,65,62.8,64
206,중앙,서울특별시,국민은행 앞,도로,2023,2,70.4,68.5,68.6,71.2,70,65.4,62.1,64
207,중앙,서울특별시,국민은행 앞,도로,2023,3,56.074,54.896,55.027,54.747,55,51.992,51.863,52
208,중앙,서울특별시,국민은행 앞,도로,2023,4,70.8,74.5,71.4,69,71,68,63.6,66
209,중앙,서울특별시,롯데슈퍼 신도림점,도로,2023,1,65.4,64.7,65.1,65.4,65,60.8,58,59
210,중앙,서울특별시,롯데슈퍼 신도림점,도로,2023,2,64.6,65,65.1,65.1,65,58,57.7,58
211,중앙,서울특별시,롯데슈퍼 신도림점,도로,2023,3,62.689,61.384,61.436,61.264,62,59.778,59.359,60
212,중앙,서울특별시,롯데슈퍼 신도림점,도로,2023,4,66.7,69.7,66.5,64.6,67,61.8,58.3,60
213,중앙,서울특별시,신도림우성5차 501동,일반,2023,1,51.9,55,52,58.1,54,43.8,44.2,44
214,중앙,서울특별시,신도림우성5차 501동,일반,2023,2,52.4,52.2,55.4,52.9,53,49,43.2,46
215,중앙,서울특별시,신도림우성5차 501동,일반,2023,3,61.39,59.609,58.812,58.495,60,55.244,55.861,56
216,중앙,서울특별시,신도림우성5차 501동,일반,2023,4,53.5,57.1,57.3,55.1,56,48.2,44.1,46
217,중앙,서울특별시,공구상가일번지관리단,일반,2023,1,69.7,71.3,70.2,66.1,69,61.4,61.2,61
218,중앙,서울특별시,공구상가일번지관리단,일반,2023,2,69.5,70.2,70.2,64.6,69,60.6,59.3,60
219,중앙,서울특별시,공구상가일번지관리단,일반,2023,3,64.52,66.148,63.776,62.961,64,51.104,51.943,52
220,중앙,서울특별시,공구상가일번지관리단,일반,2023,4,70.2,72.1,67.6,67.3,69,63.7,62.7,63
221,중앙,서울특별시,중앙빌딩 앞,일반,2023,1,64.1,64.1,62.8,63.7,64,61.1,57.9,60
222,중앙,서울특별시,중앙빌딩 앞,일반,2023,2,65.1,64.2,62.9,62.4,64,60.1,56.3,58
223,중앙,서울특별시,중앙빌딩 앞,일반,2023,3,61.077,60.816,62.686,64.161,62,54.769,53.148,54
224,중앙,서울특별시,중앙빌딩 앞,일반,2023,4,65,66.2,63.8,62.5,64,60.8,59,60
225,중앙,서울특별시,수정상가 뒤,일반,2023,1,53.4,53.7,52.3,49.5,52,44.2,41.8,43
226,중앙,서울특별시,수정상가 뒤,일반,2023,2,54.8,54.6,54.4,54.1,54,48.1,47.3,48
227,중앙,서울특별시,수정상가 뒤,일반,2023,3,59.942,58.986,59.556,57.923,59,51.49,51.767,52
228,중앙,서울특별시,수정상가 뒤,일반,2023,4,51.9,55.2,51.6,49.6,52,48.1,44.3,46
229,중앙,서울특별시,한양아파트A동 옆,일반,2023,1,51.6,52.7,51.4,50.2,51,45.8,45.7,46
230,중앙,서울특별시,한양아파트A동 옆,일반,2023,2,51.5,52.9,50,51.3,51,46.4,44.3,45
231,중앙,서울특별시,한양아파트A동 옆,일반,2023,3,55.549,53.676,61.457,54.594,56,44.6,46.986,46
232,중앙,서울특별시,한양아파트A동 옆,일반,2023,4,54.2,55.8,52.7,52.4,54,50.9,49.1,50
233,중앙,서울특별시,KBS2 앞,도로,2023,1,70.4,71.9,69.1,69.1,70,69.9,67.2,69
234,중앙,서울특별시,KBS2 앞,도로,2023,2,72.6,72.2,71.9,72.1,72,72.4,69.6,71
235,중앙,서울특별시,KBS2 앞,도로,2023,3,62.937,67.51,63.343,63.676,64,61.231,54.365,58
236,중앙,서울특별시,KBS2 앞,도로,2023,4,72.8,76.8,72.3,71.8,73,72.9,69.8,71
237,중앙,서울특별시,시티뱅크 앞,도로,2023,1,62.8,61.3,60.8,62,62,59.2,56.8,58
238,중앙,서울특별시,시티뱅크 앞,도로,2023,2,62.2,60.9,60.2,61.2,61,58.5,56.3,57
239,중앙,서울특별시,시티뱅크 앞,도로,2023,3,60.813,57.35,57.612,60.248,59,53.748,49.865,52
240,중앙,서울특별시,시티뱅크 앞,도로,2023,4,61.4,63.2,61.2,61.7,62,59.1,56.7,58
241,중앙,서울특별시,아주약국 앞,도로,2023,1,73.6,73.1,72.7,72.4,73,68.5,64.7,67
242,중앙,서울특별시,아주약국 앞,도로,2023,2,72.8,72.8,72.6,72.1,73,69.3,65.3,67
243,중앙,서울특별시,아주약국 앞,도로,2023,3,67.138,49.864,51.972,52.953,55,48.249,49.184,49
244,중앙,서울특별시,아주약국 앞,도로,2023,4,75.2,73.8,73.6,72.9,74,71.6,66.2,69
245,중앙,서울특별시,동원인테리어,도로,2023,1,69.6,68.8,66.4,65.1,67,60.6,58.4,60
